Investigation_Type,Aircraft_damage,Aircraft_Category,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Event_Year
Accident,Destroyed,Airplane,Piper,PA-23-250,No,2,Reciprocating,Business,1,0,0,0,IMC,1982
Accident,Substantial,Airplane,Cessna,210,No,1,Reciprocating,Personal,1,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Destroyed,Airplane,Cessna,P210N,No,1,Reciprocating,Personal,4,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Cessna,402A,No,2,Reciprocating,Unknown,1,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Douglas,DC-3,No,2,Reciprocating,Unknown,0,0,2,0,VMC,1982
Accident,Destroyed,Airplane,Piper,PA-23-250,No,2,Reciprocating,Executive/corporate,0,1,2,0,IMC,1982
Accident,Destroyed,Airplane,Piper,PA-28-235,No,1,Reciprocating,Personal,1,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Piper,PA-32,No,1,Reciprocating,Personal,0,1,3,0,VMC,1982
Accident,Destroyed,Airplane,Cessna,207,No,1,Reciprocating,Unknown,0,0,1,0,VMC,1982
Accident,Substantial,Airplane,Air Tractor,301,No,1,Reciprocating,Unknown,0,0,0,1,VMC,1982
Incident,Unknown,Airplane,Dassault/Sud,FALCON 20,No,2,Turbo Fan,Unknown,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,172M,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Destroyed,Airplane,Cessna,172,No,1,Reciprocating,Personal,1,1,0,0,IMC,1982
Accident,Destroyed,Airplane,Mooney,M20C,No,1,Reciprocating,Personal,2,0,4,0,VMC,1982
Accident,Destroyed,Airplane,Grumman,G-164A,No,1,Reciprocating,Aerial Application,0,0,0,1,VMC,1982
Accident,Destroyed,Airplane,Mcdonnell Douglas,DC-10-30,No,3,Turbo Fan,Unknown,2,4,24,182,IMC,1982
Accident,Destroyed,Airplane,Beech,A23A,No,1,Reciprocating,Personal,1,0,0,0,IMC,1982
Accident,Substantial,Airplane,Piper,PA-32-300,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,150M,No,1,Reciprocating,Personal,0,0,0,3,VMC,1982
Accident,Substantial,Airplane,Piper,PA-34-200T,No,2,Reciprocating,Personal,0,0,0,3,VMC,1982
Accident,Substantial,Airplane,Piper,PA-28-235,No,1,Reciprocating,Personal,2,0,4,0,VMC,1982
Accident,Substantial,Airplane,Cessna,150H,No,1,Reciprocating,Personal,0,1,0,0,VMC,1982
Accident,Substantial,Airplane,Piper,PA-38-112,No,1,Reciprocating,Unknown,0,0,1,1,VMC,1982
Accident,Destroyed,Airplane,Robertson,C-402B,No,2,Reciprocating,Personal,7,0,0,0,VMC,1982
Accident,Substantial,Airplane,Cessna,172,No,1,Reciprocating,Personal,0,0,2,0,Unknown,1982
Accident,Substantial,Airplane,Cessna,172,No,1,Reciprocating,Personal,0,0,0,4,VMC,1982
Accident,Substantial,Airplane,Cessna,172RG,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,177,No,1,Reciprocating,Business,0,0,0,1,VMC,1982
Accident,Destroyed,Airplane,Cessna,182M,No,1,Reciprocating,Personal,2,0,0,0,Unknown,1982
Accident,Substantial,Airplane,Cessna,152II,No,1,Reciprocating,Instructional,0,0,1,0,VMC,1982
Accident,Destroyed,Airplane,Cessna,A188B,No,1,Reciprocating,Aerial Application,0,1,0,0,VMC,1982
Accident,Substantial,Airplane,Piper,PA-28-140,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,172N,No,1,Reciprocating,Instructional,0,0,0,3,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Bellanca,7GCBC,No,1,Reciprocating,Business,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,172N,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Aeronca,7BCM,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Piper,PA-38-112,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Destroyed,Airplane,Piper,28-151,No,1,Reciprocating,Unknown,1,0,0,0,IMC,1982
Accident,Substantial,Airplane,Cessna,340A,No,2,Reciprocating,Instructional,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,172H,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,A185F,No,1,Reciprocating,Business,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Piper,PA-32-260,No,1,Reciprocating,Business,0,0,0,2,VMC,1982
Accident,Destroyed,Airplane,Cessna,172N,No,1,Reciprocating,Personal,1,0,0,0,IMC,1982
Incident,Unknown,Airplane,Beech,B200,No,2,Turbo Prop,Executive/corporate,0,0,0,2,VMC,1982
Accident,Destroyed,Airplane,Cessna,150,No,1,Reciprocating,Personal,1,0,0,0,VMC,1982
Accident,Substantial,Airplane,Cessna,172,No,1,Reciprocating,Unknown,0,0,0,2,VMC,1982
Incident,Minor,Airplane,Piper,PA-28R-201T,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Destroyed,Airplane,Mooney,M20J,No,1,Reciprocating,Personal,0,0,0,4,VMC,1982
Accident,Substantial,Airplane,Cessna,TR182,No,1,Reciprocating,Personal,1,0,0,0,VMC,1982
Accident,Substantial,Airplane,Aeronca,7AC,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,177B,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,172,No,1,Reciprocating,Personal,0,0,0,3,VMC,1982
Accident,Substantial,Airplane,Cessna,140,No,1,Reciprocating,Instructional,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,172,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,182L,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,172N,No,1,Reciprocating,Personal,0,0,0,3,VMC,1982
Accident,Substantial,Airplane,Cessna,172P,No,1,Reciprocating,Unknown,0,0,0,3,IMC,1982
Accident,Substantial,Airplane,Piper,PA-22,No,1,Reciprocating,Personal,0,0,1,1,VMC,1982
Accident,Substantial,Airplane,Cessna,150L,No,1,Reciprocating,Instructional,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Beech,36,No,1,Reciprocating,Business,0,1,0,1,IMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Personal,0,0,1,0,VMC,1982
Accident,Substantial,Airplane,Piper,PA-28-161,No,1,Reciprocating,Instructional,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,180K,No,1,Reciprocating,Personal,0,0,0,3,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Piper,PA-22,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Destroyed,Airplane,Beech,99,No,2,Turbo Prop,Unknown,0,5,2,0,IMC,1982
Accident,Destroyed,Airplane,Cessna,172,No,1,Reciprocating,Unknown,0,1,1,0,VMC,1982
Accident,Destroyed,Airplane,Cessna,182,No,1,Reciprocating,Personal,2,0,0,0,IMC,1982
Accident,Substantial,Airplane,Bellanca,7ECA,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,TR182,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,P206,No,1,Reciprocating,Personal,0,0,0,3,VMC,1982
Accident,Substantial,Airplane,Grumman,1159,No,2,Turbo Jet,Executive/corporate,0,0,0,4,VMC,1982
Accident,Substantial,Airplane,Piper,PA-32,No,1,Reciprocating,Unknown,0,1,0,0,IMC,1982
Accident,Destroyed,Airplane,Piper,PA-23-250,No,2,Reciprocating,Unknown,1,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Cessna,150G,No,1,Reciprocating,Personal,2,0,0,0,VMC,1982
Accident,Substantial,Airplane,Cessna,U206G,No,1,Reciprocating,Business,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,T210N,No,1,Reciprocating,Business,0,0,0,1,VMC,1982
Accident,Destroyed,Airplane,Mooney,M20J,No,1,Reciprocating,Personal,1,0,0,0,VMC,1982
Accident,Destroyed,Airplane,Mitsubishi,MU2B-40,No,2,Turbo Prop,Business,0,0,6,0,IMC,1982
Accident,Minor,Airplane,Mcdonnell-Douglas,DC-10-10,No,3,Turbo Fan,Unknown,0,1,0,154,IMC,1982
Accident,Substantial,Airplane,Cessna,150J,No,1,Reciprocating,Instructional,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Taylorcraft,F19,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Ted Smith,AEROSTAR 600,No,2,Reciprocating,Unknown,0,0,0,1,IMC,1982
Accident,Substantial,Airplane,Bellanca,7KCAB,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Destroyed,Airplane,Piper,PA-28,No,1,Reciprocating,Personal,2,0,0,0,VMC,1982
Accident,Destroyed,Airplane,Piper,PA-32R-300,No,1,Reciprocating,Unknown,4,0,0,0,IMC,1982
Accident,Substantial,Airplane,Piper,PA-28-140,No,1,Reciprocating,Instructional,0,1,1,0,VMC,1982
Accident,Minor,Airplane,Boeing,A75N1,No,1,Reciprocating,Aerial Application,0,0,0,3,VMC,1982
Accident,Destroyed,Airplane,Piper,PA-31,No,2,Reciprocating,Unknown,0,2,0,0,IMC,1982
Accident,Minor,Airplane,Bellanca,7KCAB,No,1,Reciprocating,Personal,0,0,0,3,VMC,1982
Accident,Substantial,Airplane,Taylorcraft,BC12-D,No,1,Reciprocating,Personal,0,0,0,3,VMC,1982
Accident,Substantial,Airplane,Piper,PA-28-140,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,180,No,1,Reciprocating,Personal,0,0,0,3,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Piper,PA-28-181,No,1,Reciprocating,Personal,0,0,0,3,VMC,1982
Accident,Substantial,Airplane,Ercoupe,415-C,No,2,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,182H,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,150,No,1,Reciprocating,Instructional,0,0,2,0,VMC,1982
Accident,Destroyed,Airplane,Piper,PA-24-180,No,1,Reciprocating,Personal,8,0,0,0,VMC,1982
Accident,Destroyed,Airplane,Cessna,182B,No,1,Reciprocating,Personal,8,0,0,0,VMC,1982
Accident,Destroyed,Airplane,Cessna,P210N,No,1,Reciprocating,Unknown,4,0,0,0,IMC,1982
Accident,Substantial,Airplane,Rockwell Comdr,112TCA,No,1,Reciprocating,Personal,0,1,0,0,VMC,1982
Accident,Substantial,Airplane,Piper,PA-28-180,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Bellanca,7KCAB,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,172N,No,1,Reciprocating,Personal,0,0,0,5,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Piper,PA-38,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,177RG,No,1,Reciprocating,Business,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,172,No,1,Reciprocating,Personal,0,0,0,4,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,172,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Destroyed,Airplane,Cessna,172N,No,1,Reciprocating,Personal,1,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Cessna,C-172,No,1,Reciprocating,Personal,0,0,1,0,VMC,1982
Accident,Substantial,Airplane,Piper,PA-18A-150,No,1,Reciprocating,Business,1,0,0,0,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Piper,PA-28R-201,No,1,Reciprocating,Personal,0,0,0,3,IMC,1982
Accident,Substantial,Airplane,Piper,PA-28-161,No,1,Reciprocating,Instructional,0,0,1,0,VMC,1982
Accident,Substantial,Airplane,Cessna,182P,No,1,Reciprocating,Personal,0,0,1,0,VMC,1982
Accident,Substantial,Airplane,Cessna,140,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Beech,C-23,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Destroyed,Airplane,Piper,PA-38-112,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Destroyed,Airplane,Beech,V35A,No,1,Reciprocating,Personal,1,0,0,0,VMC,1982
Incident,Unknown,Airplane,Beech,200,No,2,Turbo Prop,Executive/corporate,0,0,0,10,IMC,1982
Accident,Substantial,Airplane,Cessna,310R,No,2,Reciprocating,Business,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,172,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,402B,No,2,Reciprocating,Business,0,0,0,1,IMC,1982
Accident,Substantial,Airplane,Cessna,185,No,1,Reciprocating,Unknown,0,0,0,2,VMC,1982
Accident,Destroyed,Airplane,Cessna,310,No,2,Reciprocating,Personal,0,2,0,0,VMC,1982
Accident,Destroyed,Airplane,Beech,95-C55,No,2,Reciprocating,Business,2,0,0,0,IMC,1982
Accident,Substantial,Airplane,Cessna,172K,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,421B,No,2,Reciprocating,Business,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,401,No,2,Reciprocating,Business,0,0,0,5,VMC,1982
Accident,Destroyed,Airplane,Cessna,421,No,2,Reciprocating,Unknown,2,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Grumman,G-164B,No,1,Reciprocating,Aerial Application,0,0,0,1,VMC,1982
